smiles,ec_reduction,dm_reduction,pf6_decomposition,polymerization
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.960705,1.037713,1.508659,0.719266
CC(=O)OC1=CC(=O)O1,0.405807,0.476905,1.295495,0.244513
C1CC(=O)OC1,0.574861,0.668557,1.292923,0.449494
COC(=O)C1=CC=CC=C1,0.630073,0.756908,1.355345,0.558148
COC(=O)OC,0.541098,0.785284,1.299565,0.42967
CC(=O)OC,0.593144,0.65983,1.215802,0.426106
C1CCC(=O)OC1,0.549539,0.664566,1.234007,0.424304
COC(=O)CN(C)C,0.594793,0.457556,1.259443,0.263544
CC1=CC=CC=C1C(=O)OC,0.69289,0.878407,1.343466,0.487553
OC1CCOC1,0.437263,0.577962,1.200782,0.347959
C1COCCO1,0.559555,0.608287,1.315777,0.426768
CC(C)OC(=O)C,0.506475,0.708215,1.237406,0.477496
COC(=O)C(C)C,0.556706,0.680045,1.288619,0.469612
CCC(=O)OC,0.516637,0.646425,1.227323,0.378898
CC(C)C(=O)OC,0.684605,0.706031,1.200326,0.472217
C1CCC(C)OO1,0.75008,0.792191,1.186797,0.435882
COC(=O)C1CC1,0.639998,0.627766,1.273261,0.450296
C1CCOC1,0.619707,0.762986,1.056237,0.418129
CCOC(=O)C,0.564024,0.600761,1.332691,0.340057
C=CC(=O)OC,0.53673,0.649079,1.311934,0.326331
CC(C)OC,0.743764,0.788959,1.181445,0.507117
C1CCC1,0.784785,0.861046,1.23151,0.524358
CC1=CC=CC=C1O,0.737285,0.874458,1.422292,0.494686
COC1=CC=C(C=C1)C(=O)OC,0.749515,0.641688,1.344833,0.521809
CC(C)(C)OC(=O)C,0.65299,0.703646,1.279594,0.43363
C1=CC=C(C=C1)C(F)(F)F,0.896964,1.107877,1.343121,0.657679
C1=CC=C(C=C1)C(F)(F)F,0.971412,1.080762,1.365913,0.723805
C1=CC=C(C=C1)C(F)(F)F,0.884982,1.037388,1.362635,0.722843
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.948955,1.105866,1.414252,0.670421
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.977355,1.08989,1.339484,0.754939
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.961799,1.099283,1.384354,0.653946
C1=CC=C(C=C1)C(=O)OC(F)(F)F,0.804254,0.870166,1.390302,0.579352
C1=CC(=C(C=C1)C(=O)OC)C(F)(F)F,0.778167,0.919073,1.33486,0.688682
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)F,0.794216,0.910485,1.478177,0.677046
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.92119,1.054899,1.447853,0.623575
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.893774,0.989624,1.497221,0.661085
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.895366,1.061068,1.498099,0.671814
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.908889,1.112184,1.512248,0.674653
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.926448,1.111602,1.427596,0.629627
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.914078,1.089328,1.515545,0.773768
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.992883,1.092003,1.452776,0.649874
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.949074,1.085567,1.440876,0.658638
C1=CC(=C(C=C1)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.975967,1.176637,1.448289,0.720086
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.984507,1.079939,1.435945,0.70063
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.954884,1.06135,1.454953,0.7249
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,1.022557,1.147964,1.590929,0.661633
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.993616,1.109167,1.59276,0.659585
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.908014,1.07003,1.393805,0.673712
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.912043,1.10752,1.517088,0.793809
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.997521,1.071155,1.455079,0.724596
CC(=O)OC1=CC(=O)O1,0.383988,0.560791,1.351557,0.278203
C1CC(=O)OC1,0.471315,0.708211,1.233043,0.458695
COC(=O)C1=CC=CC=C1,0.619235,0.773831,1.329856,0.534808
COC(=O)OC,0.492843,0.62379,1.217639,0.365773
CC(=O)OC,0.551459,0.652983,1.267146,0.331926
C1CCC(=O)OC1,0.511474,0.740291,1.274891,0.382786
COC(=O)CN(C)C,0.556618,0.556703,1.284095,0.347556
CC1=CC=CC=C1C(=O)OC,0.819524,0.911727,1.327804,0.590019
OC1CCOC1,0.505297,0.612414,1.189054,0.371439
C1COCCO1,0.610197,0.55293,1.149417,0.29311
CC(C)OC(=O)C,0.594262,0.734769,1.345613,0.438579
COC(=O)C(C)C,0.677763,0.616777,1.178201,0.423547
CCC(=O)OC,0.595855,0.661515,1.147698,0.407108
CC(C)C(=O)OC,0.531109,0.719265,1.2817,0.37933
C1CCC(C)OO1,0.618279,0.687607,1.259631,0.507851
COC(=O)C1CC1,0.527366,0.688352,1.224557,0.37192
C1CCOC1,0.660702,0.7142,1.190618,0.409454
CCOC(=O)C,0.674888,0.664913,1.216084,0.422263
C=CC(=O)OC,0.553116,0.631493,1.270578,0.435999
CC(C)OC,0.659081,0.759656,1.216767,0.368916
C1CCC1,0.699072,0.959401,1.310268,0.531172
CC1=CC=CC=C1O,0.760437,0.856914,1.496935,0.612556
COC1=CC=C(C=C1)C(=O)OC,0.636467,0.691516,1.2721,0.502567
CC(C)(C)OC(=O)C,0.601122,0.663668,1.257671,0.404203
C1=CC=C(C=C1)C(F)(F)F,1.010789,1.109479,1.324871,0.766321
C1=CC=C(C=C1)C(F)(F)F,0.9303,1.022333,1.401426,0.71927
C1=CC=C(C=C1)C(F)(F)F,0.87457,1.05588,1.281489,0.623184
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.996309,1.195471,1.28044,0.728148
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.917468,1.075644,1.320749,0.6568
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.922954,1.01706,1.332603,0.650384
C1=CC=C(C=C1)C(=O)OC(F)(F)F,0.758209,0.840301,1.345255,0.623628
C1=CC(=C(C=C1)C(=O)OC)C(F)(F)F,0.798363,0.840437,1.380738,0.621632
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)F,0.761047,0.998363,1.38714,0.665993
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.851821,0.933237,1.367088,0.670842
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.90297,0.978266,1.480395,0.585362
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.933337,1.016587,1.44486,0.70237
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.906979,1.080772,1.550315,0.671155
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.991785,1.043515,1.52649,0.772078
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.826418,1.060155,1.528854,0.689848
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.968557,1.069801,1.458057,0.692216
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,1.008389,1.112721,1.44162,0.679406
C1=CC(=C(C=C1)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.92562,1.078372,1.47345,0.678951
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.964489,1.20377,1.468296,0.683699
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,1.010061,1.079596,1.351821,0.649596
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.85646,1.082424,1.484191,0.783822
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.966346,1.089045,1.52474,0.589443
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.961781,1.138543,1.426071,0.757188
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.966925,1.079236,1.531639,0.813535
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.959093,1.112411,1.477032,0.657508
CC(=O)OC1=CC(=O)O1,0.491517,0.426414,1.296163,0.277779
C1CC(=O)OC1,0.580921,0.657201,1.290647,0.371303
COC(=O)C1=CC=CC=C1,0.685462,0.754861,1.307379,0.551324
COC(=O)OC,0.553195,0.54654,1.3145,0.440674
CC(=O)OC,0.566116,0.7211,1.192876,0.325925
C1CCC(=O)OC1,0.499244,0.751209,1.290993,0.417431
COC(=O)CN(C)C,0.493058,0.494645,1.347418,0.350641
CC1=CC=CC=C1C(=O)OC,0.721956,0.860248,1.364303,0.552634
OC1CCOC1,0.433504,0.567556,1.331401,0.404407
C1COCCO1,0.636935,0.615307,1.1591,0.388783
CC(C)OC(=O)C,0.610518,0.753601,1.185872,0.511352
COC(=O)C(C)C,0.588432,0.664438,1.212765,0.343581
CCC(=O)OC,0.617811,0.666816,1.186572,0.34681
CC(C)C(=O)OC,0.579543,0.769233,1.25039,0.351167
C1CCC(C)OO1,0.631685,0.726932,1.127921,0.457379
COC(=O)C1CC1,0.565105,0.69796,1.343518,0.467892
C1CCOC1,0.65261,0.710636,1.346968,0.472309
CCOC(=O)C,0.577348,0.661944,1.260974,0.404346
C=CC(=O)OC,0.530049,0.615199,1.238232,0.370953
CC(C)OC,0.649964,0.793768,1.217771,0.559212
C1CCC1,0.642284,0.945632,1.290324,0.439954
CC1=CC=CC=C1O,0.714475,0.822779,1.272615,0.517686
COC1=CC=C(C=C1)C(=O)OC,0.587334,0.826906,1.399207,0.555971
CC(C)(C)OC(=O)C,0.675024,0.678328,1.263774,0.482749
C1=CC=C(C=C1)C(F)(F)F,0.865326,1.101047,1.313254,0.673583
C1=CC=C(C=C1)C(F)(F)F,0.96198,1.08761,1.307222,0.75029
C1=CC=C(C=C1)C(F)(F)F,0.872379,1.096194,1.354925,0.676847
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.966307,1.037444,1.39657,0.690755
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.923864,1.15245,1.315151,0.629577
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.842697,1.088908,1.255059,0.740636
C1=CC=C(C=C1)C(=O)OC(F)(F)F,0.66606,0.970502,1.384644,0.581023
C1=CC(=C(C=C1)C(=O)OC)C(F)(F)F,0.746071,0.909272,1.37389,0.639228
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)F,0.850229,0.97871,1.402091,0.634616
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.905374,0.937973,1.381056,0.705601
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.898527,1.014282,1.449387,0.685817
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.909653,1.038222,1.487244,0.651081
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.970413,1.014871,1.551458,0.72363
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.962801,1.149135,1.583274,0.750719
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.857956,1.036021,1.468759,0.701305
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.975883,1.063713,1.463066,0.662231
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.919424,1.029667,1.378578,0.632416
C1=CC(=C(C=C1)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.901206,1.152682,1.406257,0.831619
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.974666,1.109242,1.381822,0.735015
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.921218,1.1061,1.581731,0.695197
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,1.007464,1.064841,1.481521,0.78854
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.918652,1.190622,1.518658,0.671877
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.98162,1.148628,1.53109,0.621489
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.913643,1.087624,1.496278,0.731034
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.958885,1.033233,1.51901,0.730529
CC(=O)OC1=CC(=O)O1,0.47799,0.523257,1.334281,0.324621
C1CC(=O)OC1,0.553464,0.55747,1.260251,0.407188
COC(=O)C1=CC=CC=C1,0.712535,0.739962,1.275541,0.585116
COC(=O)OC,0.513368,0.626723,1.272436,0.37438
CC(=O)OC,0.592358,0.601458,1.236371,0.365044
C1CCC(=O)OC1,0.566455,0.660948,1.269382,0.396273
COC(=O)CN(C)C,0.541848,0.506189,1.215786,0.322193
CC1=CC=CC=C1C(=O)OC,0.788836,0.833787,1.391845,0.467162
OC1CCOC1,0.486381,0.588464,1.241414,0.39041
C1COCCO1,0.531412,0.711335,1.323525,0.37693
CC(C)OC(=O)C,0.585457,0.771561,1.349474,0.408731
COC(=O)C(C)C,0.575323,0.671693,1.196147,0.380391
CCC(=O)OC,0.526445,0.62476,1.249336,0.423275
CC(C)C(=O)OC,0.673857,0.635864,1.312586,0.415625
C1CCC(C)OO1,0.641499,0.774309,1.206629,0.479214
COC(=O)C1CC1,0.584975,0.687772,1.265528,0.534329
C1CCOC1,0.634167,0.739412,1.187143,0.441574
CCOC(=O)C,0.544783,0.722601,1.322095,0.383027
C=CC(=O)OC,0.517114,0.666113,1.212259,0.429771
CC(C)OC,0.695752,0.71266,1.307895,0.573806
C1CCC1,0.744193,0.871672,1.242313,0.560347
CC1=CC=CC=C1O,0.764537,0.941861,1.334144,0.516662
COC1=CC=C(C=C1)C(=O)OC,0.573897,0.702746,1.350766,0.582121
CC(C)(C)OC(=O)C,0.613059,0.74597,1.289179,0.5177
C1=CC=C(C=C1)C(F)(F)F,1.052779,1.038853,1.300798,0.744532
C1=CC=C(C=C1)C(F)(F)F,0.960527,1.157732,1.354466,0.674359
C1=CC=C(C=C1)C(F)(F)F,0.955965,1.120832,1.366294,0.717688
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,1.003334,1.158465,1.419476,0.732435
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.941644,1.107336,1.410694,0.659153
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.938962,1.03894,1.320517,0.716819
C1=CC=C(C=C1)C(=O)OC(F)(F)F,0.779711,0.888001,1.306101,0.623171
C1=CC(=C(C=C1)C(=O)OC)C(F)(F)F,0.805591,0.997477,1.360383,0.59502
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)F,0.856986,1.050067,1.415507,0.651414
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.920379,1.032812,1.426143,0.678142
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.943666,0.972156,1.455113,0.633432
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.996394,1.000978,1.449506,0.718861
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.028276,1.096712,1.47224,0.794058
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.877599,0.99006,1.522001,0.674897
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.898938,1.135418,1.51219,0.671796
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.885985,1.143623,1.486237,0.695041
C1=CC(=C(C=C1)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,1.042332,1.046496,1.348464,0.665405
C1=CC(=C(C=C1)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.947721,1.112167,1.441665,0.717603
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.887423,1.172188,1.420632,0.755865
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.967136,1.122838,1.482216,0.722385
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.982136,1.166458,1.493096,0.73545
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.945513,1.172006,1.44945,0.790047
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.947992,1.028461,1.506405,0.665947
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.992032,1.067369,1.477691,0.605523
C1=CC(=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,0.927385,0.978806,1.420805,0.738021
CC(=O)OC1=CC(=O)O1,0.48929,0.490491,1.244236,0.299276
C1CC(=O)OC1,0.556792,0.5826,1.31394,0.440672
COC(=O)C1=CC=CC=C1,0.687908,0.805144,1.340012,0.430372
COC(=O)OC,0.502987,0.558549,1.220939,0.358837
CC(=O)OC,0.635328,0.659303,1.203006,0.416787
C1CCC(=O)OC1,0.658148,0.722639,1.261257,0.387863
COC(=O)CN(C)C,0.513971,0.570593,1.26989,0.375939
CC1=CC=CC=C1C(=O)OC,0.768964,0.797198,1.406122,0.55132
OC1CCOC1,0.576791,0.509523,1.324098,0.347032
C1COCCO1,0.524705,0.616673,1.192563,0.41628
CC(C)OC(=O)C,0.633874,0.670207,1.269277,0.541988
COC(=O)C(C)C,0.682709,0.707598,1.26527,0.432326
CCC(=O)OC,0.607328,0.61201,1.238201,0.328135
CC(C)C(=O)OC,0.616293,0.718142,1.239211,0.505023
C1CCC(C)OO1,0.582684,0.667349,1.273988,0.512449
COC(=O)C1CC1,0.660848,0.640206,1.305004,0.409639
C1CCOC1,0.657423,0.810145,1.250916,0.390528
CCOC(=O)C,0.650479,0.732154,1.219792,0.431354
C=CC(=O)OC,0.583434,0.655575,1.212355,0.364543
CC(C)OC,0.684328,0.847083,1.2577,0.465481
C1CCC1,0.813417,0.74863,1.285458,0.456638
CC1=CC=CC=C1O,0.713488,0.785368,1.278257,0.614619
COC1=CC=C(C=C1)C(=O)OC,0.619478,0.756618,1.350077,0.516245
CC(C)(C)OC(=O)C,0.642781,0.670631,1.339813,0.433592
C1=CC=C(C=C1)C(F)(F)F,0.848603,1.043991,1.400308,0.734835
C1=CC=C(C=C1)C(F)(F)F,0.908999,1.047934,1.309188,0.796161
C1=CC=C(C=C1)C(F)(F)F,0.945529,1.086899,1.376784,0.704263
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.937048,1.090183,1.346788,0.698139
C1=CC=C(C=C1)C(F)(F)C(F)(F)F,0.986381,1.102597,1.387,0.695964
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.92446,0.958697,1.364896,0.67022
C1=CC=C(C=C1)C(=O)OC(F)(F)F,0.820057,0.740867,1.478512,0.578879
C1=CC(=C(C=C1)C(=O)OC)C(F)(F)F,0.828726,0.837319,1.40641,0.531392
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)F,0.813329,1.066896,1.410737,0.648335
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,0.933487,1.048266,1.455986,0.686686
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)F,1.010155,1.020601,1.45852,0.720971
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.991918,1.136489,1.509389,0.64285
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.031672,1.042683,1.515132,0.662286
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.946793,1.116438,1.516068,0.721096
C1=CC(=C(C=C1)C(=O)OC(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.030686,1.122677,1.487792,0.748204
